Dystans (m),Wysokość (m)
0,360.5527954101562
41.4447715677845,364.4476318359375
82.889543135569,367.9722290039062
124.3343147033535,371.3123168945312
165.779086271138,375.0732116699219
207.2238578389225,377.0333251953125
248.668629406707,378.4461364746094
290.11340097449147,380.755126953125
331.558172542276,381.2100524902344
373.0029441100605,383.0113830566406
414.447715677845,385.2685852050781
455.89248724562947,387.8968200683594
497.337258813414,392.0888671875
538.7820303811985,395.5329284667969
580.2268019489829,397.2081909179688
621.6715735167675,398.4909362792969
663.116345084552,398.745849609375
704.5611166523365,399.296142578125
746.005888220121,399.6513671875
787.4506597879055,400.0603332519531
828.89543135569,401.0342712402344
870.3402029234745,402.2814636230469
911.7849744912589,404.1203002929688
953.2297460590435,406.5657958984375
994.674517626828,409.192138671875
1036.1192891946125,411.3726501464844
1077.564060762397,412.8773803710938
1119.0088323301816,415.533447265625
1160.4536038979659,418.5072631835938
1201.8983754657504,420.7465209960938
1243.343147033535,421.4871215820312
1284.7879186013195,423.468017578125
1326.232690169104,425.5909729003906
1367.6774617368885,427.2456359863281
1409.122233304673,428.2356262207031
1450.5670048724576,427.9791870117188
1492.011776440242,426.2121887207031
1533.4565480080264,424.7804870605469
1574.901319575811,423.30029296875
1616.3460911435955,423.1311950683594
1657.79086271138,423.604736328125
1699.2356342791645,422.1428833007812
1740.680405846949,419.9090881347656
1782.1251774147336,419.4002685546875
1823.5699489825179,419.4749145507812
1865.0147205503024,419.2869873046875
1906.459492118087,418.42822265625
1947.9042636858715,415.2525329589844
1989.349035253656,410.8052062988281
2030.7938068214405,407.3512878417969
2072.238578389225,403.0932312011719
2113.6833499570093,401.4460754394531
2155.128121524794,400.208740234375
2196.5728930925784,401.635009765625
2238.017664660363,403.460693359375
2279.4624362281475,403.7485961914062
2320.9072077959318,404.9276123046875
2362.3519793637165,406.3192749023438
2403.796750931501,407.1789855957031
2445.2415224992856,408.4788513183594
2486.68629406707,408.4983520507812
2528.1310656348546,408.6607360839844
2569.575837202639,408.40771484375
2611.0206087704237,406.7435607910156
2652.465380338208,405.7842102050781
2693.9101519059923,406.1250915527344
2735.354923473777,406.7005310058594
2776.7996950415613,407.5331726074219
2818.244466609346,408.5769958496094
2859.6892381771304,409.6382141113281
2901.134009744915,411.4101867675781
2942.5787813126994,413.0355529785156
2984.023552880484,413.3656005859375
3025.4683244482685,413.735595703125
3066.913096016053,414.8771057128906
3108.3578675838376,415.9767761230469
3149.802639151622,417.9132690429688
3191.2474107194066,419.6612243652344
3232.692182287191,421.2206726074219
3274.1369538549757,422.4458618164062
3315.58172542276,423.16748046875
3357.0264969905443,424.6076965332031
3398.471268558329,427.0333251953125
3439.9160401261133,428.6096496582031
3481.360811693898,429.5939636230469
3522.8055832616824,429.465087890625
3564.250354829467,429.3033447265625
3605.6951263972514,431.9552001953125
3647.1398979650357,434.6662292480469
3688.5846695328205,438.8187561035156
3730.029441100605,443.0029907226562
3771.4742126683896,445.2349853515625
3812.918984236174,447.640869140625
3854.3637558039586,450.4203491210938
3895.808527371743,450.7223205566406
3937.2532989395277,447.4544982910156
3978.698070507312,445.8125610351562
4020.1428420750963,446.8424072265625
4061.587613642881,448.208984375
4103.032385210666,447.7415161132812
4144.47715677845,446.0907592773438
4185.921928346234,444.1986389160156
4227.366699914019,443.1113586425781
4268.811471481804,441.9279479980469
4310.256243049588,441.0098876953125
4351.7010146173725,440.0791320800781
4393.145786185157,438.3794555664062
4434.590557752941,440.2325744628906
4476.035329320726,438.9641723632812
4517.480100888511,441.0510864257812
4558.924872456295,442.8764038085938
4600.369644024079,441.046630859375
4641.8144155918635,443.5176391601562
4683.259187159649,447.6541442871094
4724.703958727433,451.1351623535156
4766.148730295217,452.5184326171875
4807.593501863002,452.76123046875
4849.038273430787,453.1708068847656
4890.483044998571,454.5197448730469
4931.927816566355,455.8597412109375
4973.37258813414,457.2090148925781
5014.817359701924,458.7049865722656
5056.262131269709,461.2339477539062
5097.7069028374935,452.4761047363281
5139.151674405278,452.8645629882812
5180.596445973062,451.8271179199219
5222.041217540847,452.6444091796875
5263.485989108632,452.0864562988281
5304.930760676416,453.4150695800781
5346.3755322442,454.1552429199219
5387.820303811985,453.5135498046875
5429.26507537977,455.8468627929688
5470.709846947554,455.748046875
5512.154618515338,455.8032836914062
5553.599390083123,459.3901977539062
5595.044161650908,460.3136291503906
5636.488933218692,462.8431701660156
5677.9337047864765,467.3007202148438
5719.378476354261,468.8796691894531
5760.823247922045,471.6350402832031
5802.26801948983,473.4049072265625
5843.712791057615,470.0924987792969
5885.157562625399,474.8967895507812
5926.602334193183,481.5882263183594
5968.047105760968,477.4605712890625
6009.491877328753,472.0613403320312
6050.936648896537,468.5919494628906
6092.381420464321,473.193603515625
6133.826192032106,475.5694580078125
6175.270963599891,472.0522766113281
6216.715735167675,469.8692626953125
6258.160506735459,467.3053588867188
6299.605278303244,469.4542541503906
6341.050049871028,471.3734741210938
6382.494821438813,473.5143432617188
6423.9395930065975,476.0460510253906
6465.384364574382,478.8370361328125
6506.829136142166,477.8555603027344
6548.273907709951,477.9252319335938
6589.718679277736,480.9638061523438
6631.16345084552,483.3099060058594
6672.608222413304,484.9253845214844
6714.052993981089,486.0834350585938
6755.497765548874,485.1663513183594
6796.942537116658,487.7891235351562
6838.387308684442,488.6228637695312
6879.832080252227,487.5904541015625
6921.276851820012,490.0859680175781
6962.721623387796,492.9977111816406
7004.1663949555805,496.0604553222656
7045.611166523365,495.8858337402344
7087.055938091149,496.0689697265625
7128.500709658934,497.7275390625
7169.945481226719,498.7857666015625
7211.390252794503,499.4083251953125
7252.835024362287,499.2506103515625
7294.2797959300715,498.4206848144531
7335.724567497857,497.7205505371094
7377.169339065641,499.9386901855469
7418.614110633425,503.5890808105469
7460.05888220121,504.3625183105469
7501.503653768995,504.7605285644531
7542.948425336779,507.1978454589844
7584.393196904563,511.0687866210938
7625.837968472348,515.067138671875
7667.282740040132,519.1787719726562
7708.727511607917,523.7846069335938
7750.1722831757015,522.5875244140625
7791.617054743486,520.7106323242188
7833.06182631127,524.046142578125
7874.506597879055,528.3419799804688
7915.95136944684,529.479248046875
7957.396141014624,536.9658203125
7998.840912582408,541.6741943359375
8040.2856841501925,542.9669189453125
8081.730455717978,545.7371826171875
8123.175227285762,548.6968994140625
8164.619998853546,550.0701904296875
8206.064770421332,554.3259887695312
8247.509541989115,559.5781860351562
8288.9543135569,562.4468994140625
8330.399085124684,569.7127685546875
8371.843856692469,575.3516235351562
8413.288628260254,580.9741821289062
8454.733399828037,585.2454223632812
8496.178171395823,588.8154907226562
8537.622942963608,592.2015380859375
8579.067714531391,596.1576538085938
8620.512486099176,599.1589965820312
8661.95725766696,604.5276489257812
8703.402029234745,613.8644409179688
8744.84680080253,621.6449584960938
8786.291572370314,628.4085693359375
8827.736343938099,636.488525390625
8869.181115505882,646.2007446289062
8910.625887073667,650.2529907226562
8952.070658641453,651.0277099609375
8993.515430209236,651.2942504882812
9034.960201777021,650.986328125
9076.404973344805,652.8296508789062
9117.84974491259,652.4443359375
9159.294516480375,654.3212280273438
9200.739288048158,656.1845703125
9242.184059615944,658.8936157226562
9283.628831183727,662.0636596679688
9325.073602751512,664.5965576171875
9366.518374319297,667.0225219726562
9407.96314588708,670.2412719726562
9449.407917454866,676.2577514648438
9490.852689022651,681.8307495117188
9532.297460590435,685.8966064453125
9573.74223215822,689.3176879882812
9615.187003726003,692.5640258789062
9656.631775293788,696.2451171875
9698.076546861574,699.2012329101562
9739.521318429357,699.9127807617188
9780.966089997142,701.107666015625
9822.410861564926,702.6339111328125
9863.85563313271,707.4672241210938
9905.300404700496,712.4559326171875
9946.74517626828,717.5421142578125
9988.189947836065,719.279052734375
10029.634719403848,720.500244140625
10071.079490971633,717.726806640625
10112.524262539418,713.208984375
10153.969034107202,713.7156982421875
10195.413805674987,715.62744140625
10236.858577242772,717.4196166992188
10278.303348810556,718.7302856445312
10319.74812037834,719.9384765625
10361.192891946124,720.2946166992188
10402.63766351391,721.1634521484375
10444.082435081695,723.2369384765625
10485.527206649478,725.510009765625
10526.971978217263,729.8279418945312
10568.416749785047,733.4633178710938
10609.861521352832,736.8914184570312
10651.306292920617,740.353759765625
10692.7510644884,741.8636474609375
10734.195836056186,741.462646484375
10775.64060762397,740.1658935546875
10817.085379191754,738.7457275390625
10858.53015075954,732.64404296875
10899.974922327323,728.4478759765625
10941.419693895108,726.1014404296875
10982.864465462892,724.3525390625
11024.309237030677,722.109375
11065.754008598462,718.8125610351562
11107.198780166245,715.8818359375
11148.64355173403,713.9528198242188
11190.088323301816,713.2063598632812
11231.5330948696,714.088623046875
11272.977866437384,713.9150390625
11314.422638005168,709.260009765625
11355.867409572953,707.675048828125
11397.312181140738,706.2103271484375
11438.756952708522,706.0476684570312
11480.201724276307,703.3721313476562
11521.64649584409,699.2311401367188
11563.091267411875,695.9992065429688
11604.53603897966,691.6312866210938
11645.980810547444,685.6293334960938
11687.42558211523,681.1681518554688
11728.870353683013,682.2316284179688
11770.315125250798,679.859130859375
11811.759896818583,675.560546875
11853.204668386366,670.4375
11894.649439954152,665.205322265625
11936.094211521937,667.9862060546875
11977.53898308972,663.5126953125
12018.983754657505,659.8733520507812
12060.428526225289,653.543212890625
12101.873297793074,645.8539428710938
12143.31806936086,638.4188232421875
12184.762840928643,636.0252685546875
12226.207612496428,633.262451171875
12267.652384064211,631.6714477539062
12309.097155631996,630.68896484375
12350.541927199782,631.007080078125
12391.986698767565,625.0564575195312
12433.43147033535,619.5420532226562
12474.876241903134,615.7127685546875
12516.321013470919,612.6161499023438
12557.765785038704,609.2936401367188
12599.210556606487,603.8130493164062
12640.655328174273,597.9522705078125
12682.100099742056,592.50830078125
12723.544871309841,585.2969360351562
12764.989642877626,576.3316040039062
12806.43441444541,570.91259765625
12847.879186013195,567.7567138671875
12889.32395758098,564.3477172851562
12930.768729148764,564.7548828125
12972.213500716549,564.958740234375
13013.658272284332,563.5557861328125
13055.103043852117,555.8170776367188
13096.547815419903,547.5075073242188
13137.992586987686,548.898681640625
13179.437358555471,546.0690307617188
13220.882130123255,540.8978271484375
13262.32690169104,535.7266235351562
13303.771673258825,530.5553588867188
13345.216444826608,525.6117553710938
13386.661216394394,520.6721801757812
13428.105987962177,514.9359130859375
13469.550759529962,511.5662231445312
13510.995531097748,510.9054870605469
13552.44030266553,510.0522155761719
13593.885074233316,509.5054626464844
13635.3298458011,508.351318359375
13676.774617368885,501.11767578125
13718.21938893667,492.0545043945312
13759.664160504453,489.6250915527344
13801.108932072239,488.4627990722656
13842.553703640024,486.1753845214844
13883.998475207807,482.9818725585938
13925.443246775592,477.3280334472656
13966.888018343376,478.2890625
14008.332789911161,476.2457885742188
14049.777561478946,473.5699157714844
14091.22233304673,471.3095703125
14132.667104614515,467.956298828125
14174.111876182298,465.8475646972656
14215.556647750083,463.5832214355469
14257.001419317869,462.1105041503906
14298.446190885652,459.4320373535156
14339.890962453437,457.3460083007812
14381.33573402122,454.5409545898438
14422.780505589006,452.0205078125
14464.225277156791,450.2045593261719
14505.670048724574,448.7571716308594
14547.11482029236,446.7081909179688
14588.559591860143,444.1826477050781
14630.004363427928,441.638427734375
14671.449134995713,439.7322692871094
14712.893906563497,437.7756042480469
14754.338678131282,435.9388427734375
14795.783449699067,433.8319702148438
14837.22822126685,431.5706176757812
14878.672992834636,430.7338256835938
14920.11776440242,430.0816040039062
14961.562535970204,428.9042053222656
15003.00730753799,427.7984008789062
15044.452079105773,426.7144470214844
15085.896850673558,425.5827331542969
15127.341622241342,424.2760009765625
15168.786393809127,422.7738952636719
15210.231165376912,421.5303649902344
15251.675936944695,420.8358764648438
15293.12070851248,420.7240600585938
15334.565480080264,420.4569396972656
15376.01025164805,419.0283508300781
15417.455023215834,417.9129638671875
15458.899794783618,417.83740234375
15500.344566351403,416.8328552246094
15541.789337919188,415.0281372070312
15583.234109486972,413.537353515625
15624.678881054757,412.4869689941406
15666.12365262254,411.7813110351562
15707.568424190325,411.07568359375
15749.01319575811,410.4157104492188
15790.457967325894,409.7746276855469
15831.90273889368,408.2646789550781
15873.347510461463,406.5440979003906
15914.792282029248,405.9922485351562
15956.237053597033,405.6321411132812
15997.681825164816,405.2947998046875
16039.126596732602,405.047607421875
16080.571368300385,404.5599365234375
16122.01613986817,403.7500915527344
16163.460911435955,402.7047119140625
16204.905683003739,400.9200744628906
16246.350454571524,399.5534057617188
16287.795226139307,398.5522766113281
16329.239997707093,397.4481201171875
16370.684769274878,396.6978149414062
16412.129540842663,395.8955383300781
16453.574312410445,394.7898864746094
16495.01908397823,393.6842346191406
16536.463855546015,392.5785827636719
16577.9086271138,391.3641662597656
16619.353398681586,390.2218933105469
16660.798170249367,389.6961059570312
16702.242941817152,389.473388671875
16743.687713384938,389.165771484375
16785.132484952723,388.6103820800781
16826.577256520508,388.2414245605469
16868.022028088293,387.1700134277344
16909.466799656075,385.7837219238281
16950.91157122386,385.1701049804688
16992.356342791645,384.6880493164062
17033.80111435943,384.3775634765625
17075.245885927216,383.8363647460938
17116.690657494997,383.3499450683594
17158.135429062782,382.54541015625
17199.580200630568,381.5546569824219
17241.024972198353,380.6685485839844
17282.469743766138,378.782958984375
17323.91451533392,377.6925964355469
17365.359286901705,377.5105590820312
17406.80405846949,376.9396057128906
17448.248830037275,376.3995361328125
17489.69360160506,375.5077819824219
17531.138373172842,374.8060607910156
17572.583144740627,374.3768005371094
17614.027916308412,374.1015319824219
17655.472687876198,373.6634521484375
17696.917459443983,372.6026611328125
17738.362231011764,371.9622497558594
17779.80700257955,371.7648315429688
17821.251774147335,371.0734558105469
17862.69654571512,370.2174682617188
17904.141317282905,369.2339477539062
17945.586088850687,368.1590576171875
17987.030860418472,367.0725402832031
18028.475631986257,366.008544921875
18069.920403554042,365.63134765625
18111.365175121828,365.3811340332031
18152.80994668961,364.9869689941406
18194.254718257394,364.4857788085938
18235.69948982518,363.5972595214844
18277.144261392965,362.7854309082031
18318.58903296075,362.3696899414062
18360.03380452853,361.721435546875
18401.478576096317,360.7898559570312
18442.923347664102,359.8582763671875
18484.368119231887,358.9266967773438
18525.812890799672,358.88427734375
18567.257662367454,358.971923828125
18608.70243393524,358.9460144042969
18650.147205503024,358.7546081542969
18691.59197707081,357.0409545898438
18733.036748638595,355.5106201171875
18774.48152020638,354.5201416015625
18815.92629177416,353.9071350097656
18857.371063341947,353.6255798339844
18898.815834909732,353.2939453125
18940.260606477517,353.0476379394531
18981.705378045302,352.4775390625
19023.150149613084,351.4894409179688
19064.59492118087,350.9146423339844
19106.039692748654,350.4338989257812
19147.48446431644,349.9338684082031
19188.929235884225,349.677490234375
19230.374007452006,348.9764099121094
19271.81877901979,347.3717041015625
19313.263550587577,346.1983642578125
19354.708322155362,345.4563293457031
19396.153093723147,344.7994689941406
19437.59786529093,343.88330078125
19479.042636858714,343.1005554199219
19520.4874084265,343.0643005371094
19561.932179994285,343.0000305175781
19603.37695156207,342.6337585449219
19644.82172312985,342.5875854492188
19686.266494697637,342.6306457519531
19727.71126626542,342.2280578613281
19769.156037833207,340.879150390625
19810.600809400992,339.5658569335938
19852.045580968774,338.5484313964844
19893.49035253656,338.4280090332031
19934.935124104344,338.8865661621094
19976.37989567213,338.4493408203125
20017.824667239915,337.7720947265625
20059.269438807696,337.6923828125
20100.71421037548,337.8703002929688
20142.158981943267,336.8106079101562
20183.60375351105,335.489501953125
20225.048525078837,334.6562194824219
20266.49329664662,333.8876953125
20307.938068214404,333.1811828613281
20349.38283978219,332.28076171875
20390.827611349974,330.9115295410156
20432.27238291776,329.7783203125
20473.717154485545,329.7615356445312
20515.161926053326,329.9227294921875
20556.60669762111,330.1485900878906
20598.051469188897,330.0437316894531
20639.49624075668,330.64990234375
20680.941012324467,330.9905090332031
20722.38578389225,331.1216735839844
20763.830555460034,331.1075439453125
20805.27532702782,331.1051940917969
20846.720098595604,331.0259094238281
20888.16487016339,330.6634826660156
20929.60964173117,330.0927429199219
